disease,drug_name,drug_id,confidence,novelty_level,novelty_score,is_known_treatment,combined_score,pillars_hit,pubmed_articles,pubmed_treatment,pubmed_repurposing,clinical_trials,faers_signal,faers_cooccurrences,faers_total_reports,signature_reversal,signature_rank,shared_targets,direct_relations,max_citations,mol_similarity,similar_to,transe_rank,mr_score,mr_genetic_targets,mechanistic_hypothesis,ai_hypothesis,novelty_interpretation,confidence_reasons
COPD,Estradiol,DB00783,MEDIUM,EMERGING,1.0,False,1.1874,5,19,8,1,0,none,0,75391,False,0,0,0,31,0,,110,0.6912,16,,of its anti-inflammatory and antioxidant properties.,"Emerging repurposing candidate. Some evidence exists (19 articles, 1 mention repurposing) but not yet validated in trials.",19 PubMed articles found; 1 article(s) specifically mention repurposing/repositioning; Supported by 5 independent AI pillars; Supporting paper with 31 citations; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.69)
COPD,Dexamethasone,DB01234,HIGH,ESTABLISHED,0.48,True,1.1766,4,238,201,0,6,none,0,312749,False,0,0,0,24,0,,6,0.7151,27,,of its anti-inflammatory properties.,"Well-established drug-disease relationship (238 articles, 6 trials). Not a repurposing candidate.","6 clinical trial(s) found on ClinicalTrials.gov; 238 PubMed articles on this drug-disease pair; Supported by 4 independent AI pillars; Supporting paper with 24 citations; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.72, 27 genetic targets)"
COPD,Acetylsalicylic acid,DB00945,HIGH,KNOWN,0.78,False,1.1666,4,10,8,0,7,none,0,93295,False,0,0,0,46,0,,20,0.7386,7,,of its anti-inflammatory properties.,"Known association with moderate evidence (10 articles, 7 trials). Already being studied.","7 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 10 PubMed article(s) - limited literature; Supported by 4 independent AI pillars; Supporting paper with 46 citations; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.74, 7 genetic targets)"
COPD,Digitoxin,DB01396,LOW,BREAKTHROUGH,1.0,False,1.141,4,0,0,0,0,none,0,3234,False,0,0,0,57,0,,139,0.6302,13,,of its ability to increase the number of alveolar macrophages and to increase the number of alveolar macrophages that are activated.,No published evidence found for this drug-disease pair. Strong computational prediction suggests a potential new discovery. Requires experimental validation.,Supported by 4 independent AI pillars; Supporting paper with 57 citations; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.63)
COPD,Hydrocortisone,DB00741,HIGH,KNOWN,0.84,False,1.1382,4,54,41,0,4,none,0,79275,False,0,0,0,32,0,,16,0.5868,8,,of its anti-inflammatory properties.,"Known association with moderate evidence (54 articles, 4 trials). Already being studied.",4 clinical trial(s) found on ClinicalTrials.gov; 54 PubMed articles on this drug-disease pair; Supported by 4 independent AI pillars; Supporting paper with 32 citations; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.59)
COPD,Ouabain,DB01092,MEDIUM,NOVEL,1.0,False,1.1375,4,2,0,0,0,none,0,2,False,0,0,0,57,0,,84,0.7249,15,,of its anti-inflammatory and anti-oxidant properties.,Novel prediction with minimal existing evidence (2 articles). Computational support suggests this warrants investigation.,"2 PubMed article(s) - limited literature; Supported by 4 independent AI pillars; Supporting paper with 57 citations; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.72, 15 genetic targets)"
COVID-19,Zinc Sulfate,DB09322,HIGH,ESTABLISHED,0.42,True,1.1259,2,16,13,0,10,strong,101,3153,False,0,0,0,121,0,,45,0.5338,1,,of its anti-inflammatory and anti-oxidative properties.,"Well-established drug-disease relationship (16 articles, 10 trials). Not a repurposing candidate.","10 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 16 PubMed articles found; Supported by 2 independent AI pillars; Strong FAERS signal: 101 adverse event reports link drug to disease (3153 total reports); Highly cited paper (121 citations): ""Zinc sulfate in combination with a zinc ionophore may improv...""; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.53)"
COVID-19,"7-[4-(Dimethylamino)Phenyl]-N-Hydroxy-4,6-Dimethyl-7-Oxo-2,4-Heptadienamide",DB04297,LOW,BREAKTHROUGH,1.0,False,1.0768,4,0,0,0,0,none,0,0,False,0,0,0,14,0,,71,0.5785,2,,of its high oral bioavailability and low toxicity.,No published evidence found for this drug-disease pair. Strong computational prediction suggests a potential new discovery. Requires experimental validation.,Supported by 4 independent AI pillars; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.58)
COVID-19,Vorinostat,DB02546,MEDIUM,NOVEL,0.95,False,1.0,3,9,7,5,0,weak,1,1839,False,0,0,0,51,0,,193,0.4818,3,,of its anti-inflammatory and antiviral effects.,Novel prediction with minimal existing evidence (9 articles). Computational support suggests this warrants investigation.,9 PubMed article(s) - limited literature; 5 article(s) specifically mention repurposing/repositioning; Supported by 3 independent AI pillars; Supporting paper with 51 citations; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.48)
COVID-19,Ginsenoside Re,DB14815,LOW,NOVEL,0.899,False,0.9985,1,0,0,0,0,none,0,0,False,0,0,0,116,0,,17,0,0,,of its anti-inflammatory and anti-oxidative effects.,Novel prediction with minimal existing evidence (0 articles). Computational support suggests this warrants investigation.,"Highly cited paper (116 citations): ""Drug repurposing for COVID-19: Approaches, challenges and pr...""; AI-generated hypothesis available"
COVID-19,Macelignan,DB14129,LOW,NOVEL,0.844,False,0.9929,1,0,0,0,0,none,0,0,False,0,0,0,2270,0,,76,0,0,,of its anti-inflammatory and anti-oxidative properties.,Novel prediction with minimal existing evidence (0 articles). Computational support suggests this warrants investigation.,"Highly cited paper (2270 citations): ""Severe Outcomes Among Patients with Coronavirus Disease 2019...""; AI-generated hypothesis available"
COVID-19,Iomazenil,DB14971,LOW,NOVEL,0.842,False,0.99,1,0,0,0,0,none,0,0,False,0,0,0,2270,0,,106,0,0,,of its ability to reverse the effects of the virus on the central nervous system.,Novel prediction with minimal existing evidence (0 articles). Computational support suggests this warrants investigation.,"Highly cited paper (2270 citations): ""Severe Outcomes Among Patients with Coronavirus Disease 2019...""; AI-generated hypothesis available"
COVID-19,Liarozole,DB13066,LOW,NOVEL,0.84,False,0.9879,1,0,0,0,0,none,0,1,False,0,0,0,2270,0,,129,0,0,,of its ability to inhibit the SARS-CoV-2 spike protein.,Novel prediction with minimal existing evidence (0 articles). Computational support suggests this warrants investigation.,"Highly cited paper (2270 citations): ""Severe Outcomes Among Patients with Coronavirus Disease 2019...""; AI-generated hypothesis available"
COVID-19,Dimethyl Sulfone,DB14090,LOW,NOVEL,0.938,False,0.9874,1,0,0,0,0,strong,22,449,False,0,0,0,61,0,,134,0,0,,it is a potent inhibitor of the SARS-CoV-2 spike protein.,Novel prediction with minimal existing evidence (0 articles). Computational support suggests this warrants investigation.,Strong FAERS signal: 22 adverse event reports link drug to disease (449 total reports); Supporting paper with 61 citations; AI-generated hypothesis available
COVID-19,Palmitoleic Acid,DB04257,LOW,NOVEL,0.787,False,0.9843,1,1,0,0,0,none,0,0,False,0,0,0,17231,0,,167,0,0,,of its anti-inflammatory and anti-oxidative properties.,Novel prediction with minimal existing evidence (1 articles). Computational support suggests this warrants investigation.,"1 PubMed article(s) - limited literature; Highly cited paper (17231 citations): ""Characteristics of and Important Lessons From the Coronaviru...""; AI-generated hypothesis available"
COVID-19,Pyrvinium,DB06816,LOW,NOVEL,0.787,False,0.984,1,1,1,0,0,none,0,6,False,0,0,0,2270,0,,170,0,0,,of its anti-inflammatory and antiviral properties.,Novel prediction with minimal existing evidence (1 articles). Computational support suggests this warrants investigation.,"1 PubMed article(s) - limited literature; Highly cited paper (2270 citations): ""Severe Outcomes Among Patients with Coronavirus Disease 2019...""; AI-generated hypothesis available"
Chagas disease,Nifurtimox,DB11820,HIGH,ESTABLISHED,0.4,True,1.05,2,863,779,48,10,none,0,35,False,0,0,0,38,0,,1,0,0,,,"Well-established drug-disease relationship (863 articles, 10 trials). Not a repurposing candidate.","10 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 852 PubMed articles on this drug-disease pair; 48 article(s) specifically mention repurposing/repositioning; Supported by 2 independent AI pillars; Supporting paper with 38 citations; NOTE: This appears to be an already-approved treatment, not a repurposing candidate"
Chagas disease,Ketoconazole,DB01026,HIGH,EMERGING,0.75,False,1.0493,4,57,45,2,0,weak,1,14764,False,0,0,0,178,0.5532,Itraconazole,30,0,0,,,"Emerging repurposing candidate. Some evidence exists (57 articles, 2 mention repurposing) but not yet validated in trials.","57 PubMed articles on this drug-disease pair; 2 article(s) specifically mention repurposing/repositioning; Supported by 4 independent AI pillars; High molecular similarity (0.55) to Itraconazole; Highly cited paper (178 citations): ""Cure of Short- and Long-Term Experimental Chagas' Disease Us..."""
Chagas disease,Itraconazole,DB01167,HIGH,EMERGING,0.85,False,1.0449,2,52,52,7,0,weak,1,9070,False,0,0,0,51,0,,4,0,0,,,"Emerging repurposing candidate. Some evidence exists (52 articles, 7 mention repurposing) but not yet validated in trials.",52 PubMed articles on this drug-disease pair; 7 article(s) specifically mention repurposing/repositioning; Supported by 2 independent AI pillars; Supporting paper with 51 citations; AI analysis of 2 abstract(s) found positive treatment signals
Chagas disease,Posaconazole,DB01263,HIGH,KNOWN,0.7,False,1.04,2,95,94,9,2,none,0,10320,False,0,0,0,74,0,,2,0,0,,,"Known association with moderate evidence (95 articles, 2 trials). Already being studied.",2 clinical trial(s) found on ClinicalTrials.gov; 95 PubMed articles on this drug-disease pair; 9 article(s) specifically mention repurposing/repositioning; Supported by 2 independent AI pillars; Supporting paper with 74 citations
Chagas disease,Allopurinol,DB00437,MEDIUM,EMERGING,0.85,False,1.0296,2,80,71,1,0,none,0,155924,False,0,0,0,74,0,,9,0,0,,,"Emerging repurposing candidate. Some evidence exists (80 articles, 1 mention repurposing) but not yet validated in trials.",78 PubMed articles on this drug-disease pair; 1 article(s) specifically mention repurposing/repositioning; Supported by 2 independent AI pillars; Supporting paper with 74 citations
Chagas disease,Pinaverium,DB09090,LOW,NOVEL,0.95,False,1.0255,2,1,1,1,0,none,0,548,False,0,0,0,85,0,,566,0,0,,,Novel prediction with minimal existing evidence (1 articles). Computational support suggests this warrants investigation.,1 PubMed article(s) - limited literature; 1 article(s) specifically mention repurposing/repositioning; Supported by 2 independent AI pillars; Supporting paper with 85 citations
Chagas disease,Benznidazole,DB11989,HIGH,ESTABLISHED,0.25,True,1.0247,2,1545,1413,70,10,strong,12,94,False,0,0,0,31,0,,7,0,0,,,"Well-established drug-disease relationship (1545 articles, 10 trials). Not a repurposing candidate.","10 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 1537 PubMed articles on this drug-disease pair; 70 article(s) specifically mention repurposing/repositioning; Supported by 2 independent AI pillars; Strong FAERS signal: 12 adverse event reports link drug to disease (94 total reports); Supporting paper with 31 citations; NOTE: This appears to be an already-approved treatment, not a repurposing candidate"
Chagas disease,Amiodarone,DB01118,HIGH,KNOWN,0.7,False,1.0198,2,66,62,8,3,moderate,9,63550,False,0,0,0,19,0,,6,0,0,,,"Known association with moderate evidence (66 articles, 3 trials). Already being studied.",3 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 66 PubMed articles on this drug-disease pair; 8 article(s) specifically mention repurposing/repositioning; Supported by 2 independent AI pillars; Moderate FAERS signal: 9 adverse event reports mention drug-disease co-occurrence
Chagas disease,Doxorubicin,DB00997,LOW,NOVEL,0.95,False,1.0151,3,2,2,0,0,moderate,8,105620,False,0,0,0,74,0,,54,0,0,,,Novel prediction with minimal existing evidence (2 articles). Computational support suggests this warrants investigation.,2 PubMed article(s) - limited literature; Supported by 3 independent AI pillars; Moderate FAERS signal: 8 adverse event reports mention drug-disease co-occurrence; Supporting paper with 74 citations
Chagas disease,Hydroxychloroquine,DB01611,LOW,BREAKTHROUGH,1.0,False,1.0137,2,0,0,0,0,moderate,7,106322,False,0,0,0,85,0,,29,0,0,,,No published evidence found for this drug-disease pair. Strong computational prediction suggests a potential new discovery. Requires experimental validation.,Supported by 2 independent AI pillars; Moderate FAERS signal: 7 adverse event reports mention drug-disease co-occurrence; Supporting paper with 85 citations
Chronic kidney disease,Trandolapril,DB00519,MEDIUM,NOVEL,1.0,False,1.2507,5,10,10,0,0,moderate,10,2250,False,0,0,0,17,0.9636,Ramipril,164,0.7284,2,,of its ACE-independent effects on the renin-angiotensin system.,Novel prediction with minimal existing evidence (10 articles). Computational support suggests this warrants investigation.,"10 PubMed article(s) - limited literature; Supported by 5 independent AI pillars; High molecular similarity (0.96) to Ramipril; Moderate FAERS signal: 10 adverse event reports mention drug-disease co-occurrence; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.73, 2 genetic targets)"
Chronic kidney disease,Uric Acid,DB08844,HIGH,ESTABLISHED,0.36,True,1.2146,4,2158,1212,2,10,moderate,6,36,False,0,0,0,25,0,,19,0.7617,7,,of its antioxidant properties.,"Well-established drug-disease relationship (2158 articles, 10 trials). Not a repurposing candidate.","10 clinical trial(s) found on ClinicalTrials.gov; 2158 PubMed articles on this drug-disease pair; 2 article(s) specifically mention repurposing/repositioning; Supported by 4 independent AI pillars; Moderate FAERS signal: 6 adverse event reports mention drug-disease co-occurrence; Supporting paper with 25 citations; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.76, 7 genetic targets); NOTE: This appears to be an already-approved treatment, not a repurposing candidate"
Chronic kidney disease,Dexamethasone,DB01234,HIGH,ESTABLISHED,0.36,True,1.2035,5,106,86,0,10,moderate,765,312749,False,0,0,0,57,0,,23,0.693,23,,of its anti-inflammatory and anti-fibrotic properties.,"Well-established drug-disease relationship (106 articles, 10 trials). Not a repurposing candidate.",10 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 106 PubMed articles on this drug-disease pair; Supported by 5 independent AI pillars; Moderate FAERS signal: 765 adverse event reports mention drug-disease co-occurrence; Supporting paper with 57 citations; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.69)
Chronic kidney disease,2-Amino-4-Mercapto-Butyric Acid,DB04422,HIGH,ESTABLISHED,0.48,True,1.181,5,404,218,0,8,none,0,0,False,0,0,0,19,0.619,L-Cysteine,10,0.5839,7,,of its ability to increase the expression of the antioxidant enzyme superoxide dismutase.,"Well-established drug-disease relationship (404 articles, 8 trials). Not a repurposing candidate.",8 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 404 PubMed articles on this drug-disease pair; Supported by 5 independent AI pillars; High molecular similarity (0.62) to L-Cysteine; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.58)
Chronic kidney disease,Benazepril,DB00542,HIGH,KNOWN,0.72,False,1.1748,3,42,40,0,3,strong,659,20435,False,0,0,0,17,0,,144,0.7829,3,,of its antihypertensive and antiproteinuric effects.,"Known association with moderate evidence (42 articles, 3 trials). Already being studied.","3 clinical trial(s) found on ClinicalTrials.gov; 42 PubMed articles found; Supported by 3 independent AI pillars; Note: Drug had early-phase trial failures for this disease; Strong FAERS signal: 659 adverse event reports link drug to disease (20435 total reports); AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.78, 3 genetic targets)"
Chronic kidney disease,Phosphine,DB14151,MEDIUM,EMERGING,0.96,False,1.1692999601364136,4,2,1,1,0,none,0,0,False,0,0,0,2826,0,,2,0.5906,1,,of its ability to reduce oxidative stress and inflammation.,"Emerging repurposing candidate. Some evidence exists (2 articles, 1 mention repurposing) but not yet validated in trials.","2 PubMed article(s) - limited literature; 1 article(s) specifically mention repurposing/repositioning; Supported by 4 independent AI pillars; Highly cited paper (2826 citations): ""KDIGO 2024 Clinical Practice Guideline for the Evaluation an...""; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.59)"
Chronic kidney disease,Creatinine,DB11846,HIGH,ESTABLISHED,0.18,True,1.1607,4,15538,8534,7,10,weak,2,128,False,0,0,0,11324,0,,1,0.7037,12,,it is a marker of kidney function.,"Well-established drug-disease relationship (15538 articles, 10 trials). Not a repurposing candidate.","10 clinical trial(s) found on ClinicalTrials.gov; 15538 PubMed articles on this drug-disease pair; 7 article(s) specifically mention repurposing/repositioning; Supported by 4 independent AI pillars; Highly cited paper (11324 citations): ""Chronic kidney disease and the risks of death, cardiovascula...""; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.70, 12 genetic targets); NOTE: This appears to be an already-approved treatment, not a repurposing candidate"
Chronic kidney disease,Vitamin D,DB11094,HIGH,ESTABLISHED,0.24,True,1.1538,4,3612,2675,3,10,strong,3431,255960,False,0,0,0,55,0,,3,0.6888,9,,of its role in calcium and phosphate metabolism.,"Well-established drug-disease relationship (3612 articles, 10 trials). Not a repurposing candidate.","10 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 3612 PubMed articles on this drug-disease pair; 3 article(s) specifically mention repurposing/repositioning; Supported by 4 independent AI pillars; Strong FAERS signal: 3431 adverse event reports link drug to disease (255960 total reports); Supporting paper with 55 citations; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.69); NOTE: This appears to be an already-approved treatment, not a repurposing candidate"
Chronic kidney disease,Hydralazine,DB01275,HIGH,KNOWN,0.72,False,1.1521999835968018,3,61,52,3,2,strong,2921,35872,False,0,0,0,100,0,,143,0.8841,1,,of its anti-inflammatory and anti-fibrotic properties.,"Known association with moderate evidence (61 articles, 2 trials). Already being studied.","2 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 61 PubMed articles on this drug-disease pair; 3 article(s) specifically mention repurposing/repositioning; Supported by 3 independent AI pillars; Strong FAERS signal: 2921 adverse event reports link drug to disease (35872 total reports); Supporting paper with 100 citations; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.88, 1 genetic targets)"
Chronic kidney disease,Acetylsalicylic acid,DB00945,HIGH,KNOWN,0.54,False,1.1485,4,45,39,0,10,moderate,687,93295,False,0,0,0,6,0,,28,0.5698,6,,of its antioxidant properties.,"Known association with moderate evidence (45 articles, 10 trials). Already being studied.",10 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 45 PubMed articles found; Supported by 4 independent AI pillars; Moderate FAERS signal: 687 adverse event reports mention drug-disease co-occurrence; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.57)
Colorectal cancer,MGI-114,DB05786,HIGH,NOVEL,0.96,False,1.2214,3,4,4,0,2,none,0,0,False,0,0,0,7,0,,93,0.8328,2,,of its ability to inhibit the growth of colorectal cancer cells.,Novel prediction with minimal existing evidence (4 articles). Computational support suggests this warrants investigation.,"2 clinical trial(s) found on ClinicalTrials.gov; 2 PubMed article(s) - limited literature; Supported by 3 independent AI pillars; Note: Drug had early-phase trial failures for this disease; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.83, 2 genetic targets)"
Colorectal cancer,Obatoclax,DB12191,MEDIUM,NOVEL,1.0,False,1.2195,3,11,11,0,0,none,0,5,False,0,0,0,42,0,,98,0.8211,2,,of its ability to induce apoptosis and inhibit the PI3K / Akt pathway.,Novel prediction with minimal existing evidence (11 articles). Computational support suggests this warrants investigation.,"7 PubMed article(s) - limited literature; Supported by 3 independent AI pillars; Supporting paper with 42 citations; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.82, 2 genetic targets)"
Colorectal cancer,Paclitaxel,DB01229,HIGH,ESTABLISHED,0.42,True,1.2139,4,753,673,11,10,moderate,37,86249,False,0,0,0,20,0,,10,0.8413,20,,of its ability to induce apoptosis and inhibit angiogenesis.,"Well-established drug-disease relationship (753 articles, 10 trials). Not a repurposing candidate.","10 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 378 PubMed articles on this drug-disease pair; 6 article(s) specifically mention repurposing/repositioning; Supported by 4 independent AI pillars; Moderate FAERS signal: 37 adverse event reports mention drug-disease co-occurrence; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.84, 20 genetic targets)"
Colorectal cancer,Dactolisib,DB11651,HIGH,KNOWN,0.84,False,1.2047,4,31,30,0,0,none,0,10,False,0,0,0,675,0,,32,0.8367,11,,of its ability to inhibit the PI3K / AKT / mTOR pathway.,"Known association with moderate evidence (31 articles, 0 trials). Already being studied.","21 PubMed articles found; Supported by 4 independent AI pillars; Highly cited paper (675 citations): ""Spatiotemporal Immune Landscape of Colorectal Cancer Liver M...""; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.84, 11 genetic targets)"
Colorectal cancer,Bentiromide,DB00522,MEDIUM,NOVEL,1.0,False,1.1973999738693237,3,0,0,0,0,none,0,1,False,0,0,0,11553,0,,90,0.9197,1,,of its ability to inhibit the growth of colorectal cancer cells.,Novel prediction with minimal existing evidence (0 articles). Computational support suggests this warrants investigation.,"Supported by 3 independent AI pillars; Highly cited paper (11553 citations): ""Colorectal cancer...""; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.92, 1 genetic targets)"
Colorectal cancer,Geldanamycin,DB02424,HIGH,KNOWN,0.84,False,1.1956,4,30,22,0,1,none,0,0,False,0,0,0,39,0,,123,0.5913,2,,of its ability to inhibit the Hsp90 chaperone.,"Known association with moderate evidence (30 articles, 1 trials). Already being studied.",1 clinical trial(s) found on ClinicalTrials.gov; 13 PubMed articles found; Supported by 4 independent AI pillars; Supporting paper with 39 citations; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.59)
Colorectal cancer,Doxorubicin,DB00997,HIGH,ESTABLISHED,0.3,True,1.1949,4,1625,1382,10,10,moderate,79,105620,False,0,0,0,20,0,,23,0.789,19,,of its ability to induce apoptosis and inhibit cell proliferation.,"Well-established drug-disease relationship (1625 articles, 10 trials). Not a repurposing candidate.","10 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 703 PubMed articles on this drug-disease pair; 3 article(s) specifically mention repurposing/repositioning; Supported by 4 independent AI pillars; Moderate FAERS signal: 79 adverse event reports mention drug-disease co-occurrence; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.79, 19 genetic targets); NOTE: This appears to be an already-approved treatment, not a repurposing candidate"
Colorectal cancer,Topotecan,DB01030,HIGH,KNOWN,0.66,False,1.1905,4,136,131,1,3,moderate,10,5508,False,0,0,0,58,0,,180,0.8169,18,,of its ability to inhibit the proliferation of cancer cells.,"Known association with moderate evidence (136 articles, 3 trials). Already being studied.","3 clinical trial(s) found on ClinicalTrials.gov; 64 PubMed articles on this drug-disease pair; 1 article(s) specifically mention repurposing/repositioning; Supported by 4 independent AI pillars; Moderate FAERS signal: 10 adverse event reports mention drug-disease co-occurrence; Supporting paper with 58 citations; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.82, 18 genetic targets)"
Colorectal cancer,Cisplatin,DB00515,HIGH,ESTABLISHED,0.3,True,1.1873,4,2041,1777,10,10,moderate,29,77881,False,0,0,0,20,0,,6,0.7878,17,,of its ability to induce apoptosis and inhibit cell proliferation.,"Well-established drug-disease relationship (2041 articles, 10 trials). Not a repurposing candidate.","10 clinical trial(s) found on ClinicalTrials.gov; 1002 PubMed articles on this drug-disease pair; 5 article(s) specifically mention repurposing/repositioning; Supported by 4 independent AI pillars; Moderate FAERS signal: 29 adverse event reports mention drug-disease co-occurrence; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.79, 17 genetic targets); NOTE: This appears to be an already-approved treatment, not a repurposing candidate"
Colorectal cancer,N-(4-(1-Cyanocyclopentyl)phenyl)-2-((4-pyridinylmethyl)amino)-3-pyridinecarboxamide,DB14765,LOW,BREAKTHROUGH,1.0,False,1.1851999759674072,4,0,0,0,0,none,0,0,False,0,0,0,3,0,,12,0.5471,1,,of its ability to inhibit the growth of colorectal cancer cells.,No published evidence found for this drug-disease pair. Strong computational prediction suggests a potential new discovery. Requires experimental validation.,Supported by 4 independent AI pillars; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.55)
Coronary artery disease,Cimetidine,DB00501,HIGH,NOVEL,0.96,False,1.1715,4,7,4,0,0,moderate,44,6463,False,0,0,0,264,0,,191,0.8105,6,,of its ability to inhibit the synthesis of thromboxane A2.,Novel prediction with minimal existing evidence (7 articles). Computational support suggests this warrants investigation.,"7 PubMed article(s) - limited literature; Supported by 4 independent AI pillars; Moderate FAERS signal: 44 adverse event reports mention drug-disease co-occurrence; Highly cited paper (264 citations): ""Histamine provocation of clinical coronary artery spasm: imp...""; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.81, 6 genetic targets)"
Coronary artery disease,Lovastatin,DB00227,HIGH,ESTABLISHED,0.18,True,1.1705,5,237,230,0,10,moderate,165,25778,False,0,0,0,2198,0.7424,Simvastatin,87,0.8545,16,,of its cholesterol-lowering properties.,"Well-established drug-disease relationship (237 articles, 10 trials). Not a repurposing candidate.","10 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 237 PubMed articles on this drug-disease pair; Supported by 5 independent AI pillars; High molecular similarity (0.74) to Simvastatin; Moderate FAERS signal: 165 adverse event reports mention drug-disease co-occurrence; Highly cited paper (2198 citations): ""Regression of coronary artery disease as a result of intensi...""; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.85, 16 genetic targets)"
Coronary artery disease,Pindolol,DB00960,HIGH,KNOWN,0.72,False,1.1686,5,26,22,0,1,moderate,7,804,False,0,0,0,111,0.6444,Propranolol,195,0.6772,5,,of its beta-adrenergic blocking properties.,"Known association with moderate evidence (26 articles, 1 trials). Already being studied.","1 clinical trial(s) found on ClinicalTrials.gov; 26 PubMed articles found; Supported by 5 independent AI pillars; High molecular similarity (0.64) to Propranolol; Note: Drug had early-phase trial failures for this disease; Moderate FAERS signal: 7 adverse event reports mention drug-disease co-occurrence; Highly cited paper (111 citations): ""Myocardial Blood Flow and Oxygen Consumption during High‐dos...""; AI-generated hypothesis available; Moderate genetic evidence supporting causality (MR score: 0.68)"
Coronary artery disease,Nitroglycerin,DB00727,HIGH,ESTABLISHED,0.24,True,1.1662,5,1158,848,0,10,strong,1116,40451,False,0,0,0,26,0,,5,0.7593,5,,of its vasodilatory properties.,"Well-established drug-disease relationship (1158 articles, 10 trials). Not a repurposing candidate.","10 clinical trial(s) found on ClinicalTrials.gov; 1158 PubMed articles on this drug-disease pair; Supported by 5 independent AI pillars; Strong FAERS signal: 1116 adverse event reports link drug to disease (40451 total reports); Supporting paper with 26 citations; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.76, 5 genetic targets); NOTE: This appears to be an already-approved treatment, not a repurposing candidate"
Coronary artery disease,Prednisolone,DB00860,HIGH,KNOWN,0.54,False,1.1566,5,60,54,1,10,moderate,410,190304,False,0,0,0,24,0.6833,Hydrocortisone,183,0.7088,3,,of its anti-inflammatory properties.,"Known association with moderate evidence (60 articles, 10 trials). Already being studied.","10 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 60 PubMed articles on this drug-disease pair; 1 article(s) specifically mention repurposing/repositioning; Supported by 5 independent AI pillars; High molecular similarity (0.68) to Hydrocortisone; Moderate FAERS signal: 410 adverse event reports mention drug-disease co-occurrence; Supporting paper with 24 citations; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.71, 3 genetic targets)"
Coronary artery disease,Amlodipine,DB00381,HIGH,ESTABLISHED,0.36,True,1.1476,4,225,220,0,10,moderate,1094,357954,False,0,0,0,17,0,,15,0.8666,6,,of its calcium channel blocking properties.,"Well-established drug-disease relationship (225 articles, 10 trials). Not a repurposing candidate.","10 clinical trial(s) found on ClinicalTrials.gov; 225 PubMed articles on this drug-disease pair; Supported by 4 independent AI pillars; Moderate FAERS signal: 1094 adverse event reports mention drug-disease co-occurrence; AI-generated hypothesis available; Strong causal genetic evidence (MR score: 0.87, 6 genetic targets)"
